region,event_id,phase,n_test_months,n_training_months,RMSE_M1,RMSE_M3,delta_RMSE_M3_minus_M1,MAE_M1,MAE_M3,delta_MAE_M3_minus_M1,Pearson_r_M1,Pearson_r_M3,M3_better_RMSE,M3_better_MAE,finite_models,rank_deficient
WP,LaNina_03,La Nina,12,224,1.742745802081906,1.1321948088461697,-0.6105509932357363,1.4880624776096305,0.7778629973527904,-0.7101994802568401,0.051087830896403404,0.7665071396340761,True,True,True,False
WP,LaNina_04,La Nina,4,232,1.680316231433931,1.2002829779327904,-0.4800332535011407,1.5602906837079193,1.0819515220668805,-0.47833916164103885,0.9455902226998968,0.775260480425825,True,True,True,False
WP,LaNina_05,La Nina,12,224,1.7138668324572819,1.1376061870292733,-0.5762606454280086,1.4112481879771532,0.9861233274717774,-0.4251248605053758,-0.050191269930447285,0.7470992525641983,True,True,True,False
WP,LaNina_06,La Nina,9,227,2.4394657432369566,1.3775738281359315,-1.061891915101025,2.0691718705878515,1.0979974784330653,-0.9711743921547862,0.5507000449247115,0.9318462414375975,True,True,True,False
WP,LaNina_07,La Nina,2,234,0.552833408929739,0.5013789641274572,-0.051454444802281785,0.5313449944325888,0.3604427804165118,-0.17090221401607697,1.0,-0.9999999999999998,True,True,True,False
WP,LaNina_08,La Nina,1,235,0.16974310170322401,0.1539355936138515,-0.015807508089372507,0.16974310170322401,0.1539355936138515,-0.015807508089372507,,,True,True,True,False
WP,LaNina_09,La Nina,5,231,2.7688881018020006,0.5677431370969961,-2.2011449647050045,2.3301210678573137,0.5280079470112564,-1.8021131208460572,-0.15357675861517694,0.9847965614920298,True,True,True,False
WP,LaNina_10,La Nina,7,229,1.261499594981012,0.8744781990552244,-0.38702139592578755,1.0545496137524977,0.687533541605637,-0.3670160721468607,0.20331117613586855,0.8370048243021493,True,True,True,False
WP,LaNina_11,La Nina,9,227,1.2443085312864341,0.9464682466322136,-0.2978402846542205,1.1001206278210616,0.7572770315588108,-0.3428435962622508,0.21110135974101255,0.8090331666538338,True,True,True,False
WP,LaNina_12,La Nina,18,223,2.787264280694421,1.441269294867781,-1.34599498582664,2.3786144586335065,1.13279678638277,-1.2458176722507366,0.4164372944404777,0.7684065628221388,True,True,True,False
