region,cloud_type,ctp_bin,tau_bin,physical_group,CF0,Q0_SW,Q0_LW,Q0_Net,CRE0_SW_ratio,CRE0_LW_ratio,CRE0_Net_ratio,CRE0_SW_monthlymean,CRE0_LW_monthlymean,CRE0_Net_monthlymean,difference_ratio_minus_monthlymean_Net,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48
CP,3,1000-800,3.55-9.38,low cloud,0.01681894969082042,-1.1448993034165658,0.057450291971694344,-1.0874490114448716,-68.07198573412929,3.415807349911393,-64.6561783842179,-67.87710931693498,3.3335578006973594,-64.54355151623764,-0.11262686798025356,248,True,True
CP,4,1000-800,9.38-22.63,low cloud,0.0008290791054465041,-0.0926572503241532,0.004906096722532454,-0.08775115360162072,-111.7592395170208,5.917525469285895,-105.84171404773488,-112.1474958170206,5.685876594369184,-106.4616192226514,0.6199051749165108,248,True,True
CP,5,1000-800,22.63-60.36,low cloud,9.631418898059362e-06,-0.0013893340785816116,6.811855437720155e-05,-0.0013212155242044098,-144.25019753439952,7.07253573935267,-137.17766179504684,-150.31686739546694,6.524396202407818,-143.79247119305913,6.614809398012284,247,True,True
CP,6,1000-800,60.36-378.65,low cloud,1.8373025471454895e-08,-2.8427036611872586e-06,1.4376771240513465e-07,-2.6989359487821236e-06,-154.72158712258917,7.824934038680685,-146.89665308390846,-207.76666179952613,5.160107516026623,-202.60655428349952,55.70990119959106,17,False,False
CP,7,800-680,0.02-1.27,low cloud,0.01548689276451614,-0.1923214550862011,0.1240862748665326,-0.06823518021966847,-12.418337106772745,8.012341581575448,-4.405995525197294,-12.413959480324662,8.03681194288646,-4.377147537438201,-0.02884798775909303,248,True,True
CP,8,800-680,1.27-3.55,low cloud,0.037711069717740325,-1.3887356661527435,0.5101105297787595,-0.8786251363739841,-36.82567682505819,13.526811453422905,-23.298865371635284,-36.870936383080874,13.572335988921905,-23.29860039415897,-0.0002649774763128221,248,True,True
CP,9,800-680,3.55-9.38,low cloud,0.024106000707965577,-1.8072875084743194,0.34320522323660296,-1.4640822852377164,-74.97251536531815,14.237335649093977,-60.735179716224174,-74.98918289707848,14.191708439126682,-60.7974744579518,0.0622947417276265,248,True,True
CP,10,800-680,9.38-22.63,low cloud,0.00517403783501308,-0.6084496071033607,0.0783410743205879,-0.5301085327827728,-117.59666753612414,15.141186983683868,-102.45548055244028,-117.7154027645197,14.995705420892001,-102.71969734362769,0.26421679118740826,248,True,True
CP,11,800-680,22.63-60.36,low cloud,0.0001989649134005661,-0.030929487257142434,0.003150237947769347,-0.027779249309373085,-155.45196752793115,15.833133058124327,-139.6188344698068,-156.68157102100406,15.637307394402537,-141.04426362660155,1.4254291567947348,248,True,True
CP,12,800-680,60.36-378.65,low cloud,6.200120604450498e-07,-0.00012178034465534843,1.0175591686406147e-05,-0.0001116047529689423,-196.4160899836908,16.411925405292962,-180.00416457839785,-210.17758084423372,15.259882813305634,-194.9176980309281,14.91353345253026,243,True,True
