month,region,phase_index,HCCF_anom,HCTB_anom,LCSP_anom,Direct_Net_anom_formal,direct_source_verified,metric_source_verified
2018-12-01,CP,1,0.0638112165,0.0029083911,0.0254722099,-0.6050140847,True,True
2019-01-01,CP,1,0.0721318501,-0.0456197979,0.0222653220,1.5890758135,True,True
2019-02-01,CP,1,0.1202034313,0.0242556436,0.0533775758,-1.4967838317,True,True
2019-03-01,CP,1,0.0467649511,0.0206707135,0.0278364096,-2.2776557289,True,True
2019-04-01,CP,1,0.0318336913,-0.0279095665,0.0060023516,1.9695288629,True,True
2019-05-01,CP,1,0.0764585977,0.0022852633,0.0432103513,0.4356271598,True,True
2019-06-01,CP,1,0.0298927920,-0.0005725911,0.0119998188,-0.0294980327,True,True
2019-07-01,CP,0,0.0559968502,-0.0293340917,0.0415128965,2.9714312433,True,True
2019-08-01,CP,0,0.0499439063,0.0000590009,0.0194495486,0.5552593957,True,True
2019-09-01,CP,0,0.0142879901,0.0182684821,0.0302556461,0.1972314977,True,True
2019-10-01,CP,1,0.0113992014,-0.0177473861,0.0250357547,3.1139805240,True,True
2019-11-01,CP,1,0.0310837395,0.0038885186,0.0246684265,0.0180593588,True,True
2019-12-01,CP,1,0.0593965731,-0.0111003635,0.0360039639,1.2764921348,True,True
2020-01-01,CP,1,0.0832974977,0.0008261441,0.0340038470,-0.2212733363,True,True
2020-02-01,CP,0,0.0919792914,0.0287281097,0.0317943755,-2.6103393377,True,True
2020-03-01,CP,1,-0.0032209325,-0.0046195083,0.0096842204,0.5204447846,True,True
2020-04-01,CP,0,-0.0096419209,-0.0017927222,0.0065842422,0.8389062205,True,True
2020-05-01,CP,0,-0.0372714441,0.0028274439,-0.0217474855,-1.0937018767,True,True
2020-06-01,CP,0,-0.0165997052,0.0061221140,-0.0062106249,0.4975189770,True,True
2020-07-01,CP,0,-0.0009740924,-0.0111553169,0.0042063514,1.8637826793,True,True
2020-08-01,CP,-1,-0.0380100301,0.0041825782,-0.0168243462,-0.4196152756,True,True
2020-09-01,CP,-1,-0.0239475411,0.0068922146,-0.0101892092,0.1036486333,True,True
2020-10-01,CP,-1,-0.0528223340,0.0147462619,-0.0359214601,-1.8275042350,True,True
2020-11-01,CP,-1,-0.0653094759,0.0095483513,-0.0416541503,-1.3567606787,True,True
2020-12-01,CP,-1,-0.1097348823,0.0241255237,-0.0552546812,-1.8480892092,True,True
2021-01-01,CP,-1,-0.1755904089,0.0351163143,-0.0695518522,-1.3766937937,True,True
