region,cloud_type,ctp_bin,tau_bin,physical_group,DeltaCF_paired,CRE0_SW_ratio,CRE0_LW_ratio,CRE0_Net_ratio,AmountSW_candidate,AmountLW_candidate,AmountNet_candidate,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48,SW_LW_Net_closure_residual
WP,18,680-560,60.36-378.65,mid-level cloud,6.228294435569762e-06,-214.074620228438,29.679473504647262,-184.3951467237907,-0.0013333197659654904,0.00018485249967963474,-0.0011484672662858556,248,True,True,0.0
WP,19,560-440,0.02-1.27,mid-level cloud,-0.0028312082379340388,-10.713305542718198,17.53458814409592,6.821282601377728,0.03033159890804816,-0.0496440704023449,-0.019312471494296754,248,True,True,-1.3877787807814457e-17
WP,20,560-440,1.27-3.55,mid-level cloud,-0.0020323115325297132,-44.26453253504227,42.08244898999301,-2.182083545049273,0.0899593199530031,-0.08552464639945619,0.0044346735535469575,248,True,True,4.0766001685454967e-17
WP,21,560-440,3.55-9.38,mid-level cloud,-0.002756289592031334,-80.03877836081125,47.38424842825276,-32.65452993255849,0.2206100517548068,-0.1306047107690202,0.09000534098578662,248,True,True,1.3877787807814457e-17
WP,22,560-440,9.38-22.63,mid-level cloud,-0.00017049583709902172,-123.82021403078136,47.04059621208866,-76.77961781869273,0.0211108310409581,-0.008020225828817127,0.01309060521214098,248,True,True,5.204170427930421e-18
WP,23,560-440,22.63-60.36,mid-level cloud,6.890632247240119e-05,-163.71344890884606,46.478268086481435,-117.23518082236464,-0.011280891703581923,0.0032026465287258027,-0.008078245174856122,248,True,True,-1.734723475976807e-18
WP,24,560-440,60.36-378.65,mid-level cloud,4.343623596435261e-06,-223.25973541171987,47.56474834265623,-175.69498706906367,-0.0009697562548682396,0.0002066033632596666,-0.0007631528916085731,248,True,True,-1.0842021724855044e-19
WP,25,440-310,0.02-1.27,thin high cloud,-0.009181393121683513,-18.404075003715704,36.3698278095155,17.96575280579979,0.16897504765006285,-0.3339256868870994,-0.16495063923703648,248,True,True,5.551115123125783e-17
WP,26,440-310,1.27-3.55,thin high cloud,-0.004283180785767362,-53.29021591110847,63.45631783361943,10.166101922510975,0.22825162885985395,-0.27179488128050555,-0.04354325242065165,248,True,True,-4.85722573273506e-17
WP,27,440-310,3.55-9.38,thick anvil cloud,-0.003262272940047316,-103.67185090253916,72.64384180153137,-31.028009101007804,0.33820587384397344,-0.23698403937021384,0.10122183447375961,248,True,True,1.3877787807814457e-17
WP,28,440-310,9.38-22.63,thick anvil cloud,-0.0015315308784429726,-147.66072490484007,77.31876836888206,-70.34195653595798,0.22614695972503582,-0.11841608124012266,0.10773087848491311,248,True,True,-4.163336342344337e-17
WP,29,440-310,22.63-60.36,deep convective cloud,-0.00019255507924439107,-185.8020460745882,78.71590048693058,-107.08614558765764,0.035777127705662326,-0.015157146456054519,0.020619981249607816,248,True,True,6.938893903907228e-18
WP,30,440-310,60.36-378.65,deep convective cloud,-3.982222943678699e-06,-228.2680067125177,82.9015681354416,-145.3664385770761,0.0009090140936383913,-0.00033013252669589845,0.0005788815669424928,248,True,True,0.0
WP,31,310-180,0.02-1.27,thin high cloud,-0.012646428553193034,-15.330623279348456,29.14494457950712,13.814321300158674,0.19387763197819816,-0.3685794593115074,-0.17470182733330938,248,True,True,-1.6653345369377348e-16
WP,32,310-180,1.27-3.55,thin high cloud,-0.015456782922139742,-65.25210437447274,81.76457398760483,16.51246961313212,1.00858761252903,-1.2638172708476418,-0.25522965831861194,248,True,True,-1.6653345369377348e-16
WP,33,310-180,3.55-9.38,thick anvil cloud,-0.01744429391160883,-114.74267560377837,107.88985519736528,-6.85282040641308,2.001604957436698,-1.8820623441437574,0.11954261329294044,248,True,True,-2.7755575615628914e-17
WP,34,310-180,9.38-22.63,thick anvil cloud,-0.011617067826546125,-166.6969053139403,123.111477706795,-43.58542760714528,1.9365292555073816,-1.4301943867461586,0.5063348687612227,248,True,True,-3.3306690738754696e-16
WP,35,310-180,22.63-60.36,deep convective cloud,-0.004905132988064508,-207.31737596608448,132.44166280944657,-74.87571315663789,1.016919299850213,-0.6496439692407328,0.3672753306094802,248,True,True,-5.551115123125783e-17
WP,36,310-180,60.36-378.65,deep convective cloud,-0.00040834099941828737,-239.72210757891875,139.04472857256926,-100.67737900634948,0.09788836499143388,-0.05677766342916743,0.04111070156226645,248,True,True,-6.938893903907228e-18
WP,37,180-10,0.02-1.27,thin high cloud,-0.00260667663569758,1.3221623204988202,6.316618154502317,7.638780475001137,-0.0034464496294439703,-0.016465380959964356,-0.019911830589408326,248,True,True,0.0
WP,38,180-10,1.27-3.55,thin high cloud,-0.0011770893575660663,-66.56396341279923,102.46657075322072,35.90260734042149,0.07835173293062297,-0.12061230993990646,-0.04226057700928346,248,True,True,2.0816681711721685e-17
WP,39,180-10,3.55-9.38,thick anvil cloud,-0.0011128441822560713,-113.94343537271638,134.75680502789348,20.81336965517713,0.12680128916079808,-0.14996332649470695,-0.02316203733390892,248,True,True,-5.204170427930421e-17
WP,40,180-10,9.38-22.63,thick anvil cloud,-0.002250345913613545,-184.69205829292753,157.0710475762865,-27.621010716641024,0.4156210186563641,-0.35346419006029506,0.06215682859606906,248,True,True,3.469446951953614e-17
WP,41,180-10,22.63-60.36,deep convective cloud,-0.004163641560623812,-222.502859016702,160.1920831829085,-62.31077583379352,0.9264221511595612,-0.6669824152232647,0.2594397359362966,248,True,True,1.6653345369377348e-16
WP,42,180-10,60.36-378.65,deep convective cloud,-0.002682129530875408,-251.20429694195735,165.7764028332675,-85.42789410868988,0.6737624631108188,-0.4446337855614044,0.22912867754941443,248,True,True,8.326672684688674e-17
