region,cloud_type,ctp_bin,tau_bin,physical_group,DeltaCF_paired,CRE0_Net_ratio,AmountNet_candidate,ci_low_95,ci_high_95,significant,sign_stability_probability,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48,plot_dot,plot_hatch,support,term
EP,18,680-560,60.36-378.65,mid-level cloud,2.8008535928454176e-06,-187.64605098886523,-0.0005255691160954,-0.0022007363529296,0.0010744683355301,False,0.769,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
EP,19,560-440,0.02-1.27,mid-level cloud,0.0013566587589008,11.403420650765533,0.0154705505072913,0.0041614456867223,0.0272609747016844,True,0.9995,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
EP,20,560-440,1.27-3.55,mid-level cloud,0.0009278025067998,0.766082858586825,0.0007107735966132,7.20494996536256e-05,0.0013129461123901,True,0.991,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
EP,21,560-440,3.55-9.38,mid-level cloud,0.0020241152163493,-37.97489061228243,-0.0768655539275232,-0.1299238226509059,-0.0267772141332026,True,0.9995,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
EP,22,560-440,9.38-22.63,mid-level cloud,0.0005111760501919,-86.32738789015295,-0.0441284931650756,-0.1127630474105269,0.0163533936129657,False,0.92,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
EP,23,560-440,22.63-60.36,mid-level cloud,-3.518868262171069e-05,-128.46860736183837,0.0045206410513088,-0.0379778125173196,0.0457600437980469,False,0.5595,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
EP,24,560-440,60.36-378.65,mid-level cloud,4.653737980001006e-06,-168.86705055311162,-0.0007858630067297,-0.0029926087398643,0.0014567106644289,False,0.7745,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
EP,25,440-310,0.02-1.27,thin high cloud,0.0037304810900719,18.688262618649183,0.0697162103051701,0.013421529419903,0.1322518655199908,True,0.9955,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
EP,26,440-310,1.27-3.55,thin high cloud,0.0013946142883929,10.321358987379991,0.0143943147194329,5.617251470834613e-06,0.0283753484769429,True,0.975,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
EP,27,440-310,3.55-9.38,thick anvil cloud,0.0008656944452846,-32.69061708509715,-0.0283000856234953,-0.0696139329334268,0.0095245644702677,False,0.9005,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
