region,cloud_type,ctp_bin,tau_bin,physical_group,CF0,Q0_SW,Q0_LW,Q0_Net,CRE0_SW_ratio,CRE0_LW_ratio,CRE0_Net_ratio,CRE0_SW_monthlymean,CRE0_LW_monthlymean,CRE0_Net_monthlymean,difference_ratio_minus_monthlymean_Net,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48,panels_used,display_value_tp_sw,display_value_tp_lw,display_value_tp_net,display_value_regional_net,baseline_hatch
EP,17,680-560,22.63-60.36,mid-level cloud,0.001489413566907,-0.2443392893336949,0.0411238666574349,-0.2032154226762599,-164.050667163648,27.61077753765393,-136.43988962599408,-165.1494903588533,27.82141852338215,-137.32807183547112,0.8881822094770371,248,True,True,f,,,,-136.43988962599408,False
EP,18,680-560,60.36-378.65,mid-level cloud,2.0679378684812593e-05,-0.0044331516650526,0.0005527479179442,-0.0038804037471083,-214.37547677911977,26.72942579025449,-187.64605098886523,-223.72150312421883,26.88955258217929,-196.83195054203955,9.185899553174323,248,True,True,f,,,,-187.64605098886523,False
EP,19,560-440,0.02-1.27,mid-level cloud,0.0039456258780691,-0.0326479794754957,0.0776416110936645,0.0449936316181688,-8.274474185949012,19.677894836714543,11.403420650765533,-8.265547862598217,19.738618085230975,11.473070222632762,-0.0696495718672292,248,True,True,f,,,,11.403420650765533,False
EP,20,560-440,1.27-3.55,mid-level cloud,0.0035774254496729,-0.166278946633745,0.1690195509486117,0.0027406043148666,-46.48005918584506,47.24614204443189,0.766082858586825,-46.556692504458155,47.42029743303368,0.8636049285755142,-0.0975220699886891,248,True,True,f,,,,0.766082858586825,False
EP,21,560-440,3.55-9.38,mid-level cloud,0.0083511405048114,-0.7415503172807756,0.4244166701227591,-0.3171336471580165,-88.79629277624238,50.82140216395996,-37.97489061228243,-88.81824367436835,50.966580626816985,-37.85166304755136,-0.1232275647310672,248,True,True,f,,,,-37.97489061228243,False
EP,22,560-440,9.38-22.63,mid-level cloud,0.005973616224347,-0.8089359770495783,0.2932492921434592,-0.5156866849061189,-135.4181364635622,49.09074857340922,-86.32738789015295,-135.34911724839998,49.19047235751654,-86.15864489088342,-0.1687429992695257,248,True,True,f,,,,-86.32738789015295,False
EP,23,560-440,22.63-60.36,mid-level cloud,0.0015130058516429,-0.2650549167327296,0.070681162041852,-0.1943737546908775,-175.18433021585253,46.71572285401413,-128.46860736183837,-175.9399305412645,46.62179121400694,-129.31813932725757,0.8495319654192031,248,True,True,f,,,,-128.46860736183837,False
EP,24,560-440,60.36-378.65,mid-level cloud,4.067887943852163e-05,-0.0092304169219773,0.0023610945313886,-0.0068693223905887,-226.90932123455815,58.04227068144655,-168.86705055311162,-232.67732152835976,55.905618269812706,-176.7717032585471,7.904652705435467,248,True,True,f,,,,-168.86705055311162,False
EP,25,440-310,0.02-1.27,thin high cloud,0.0148877512419428,-0.2434883263096101,0.5217145313201591,0.2782262050105489,-16.354943224980598,35.043205843629785,18.688262618649183,-16.347670511686903,34.898415152750204,18.550744641063293,0.1375179775858903,248,True,True,f,,,,18.688262618649183,False
EP,26,440-310,1.27-3.55,thin high cloud,0.007415214819324,-0.4144079333329906,0.4909430274517746,0.076535094118784,-55.886166945971794,66.20752593335177,10.321358987379991,-56.094773554193914,66.01376870231788,9.918995148123969,0.4023638392560258,248,True,True,f,,,,10.321358987379991,False
EP,27,440-310,3.55-9.38,thick anvil cloud,0.0089544276847022,-1.0085797759335604,0.7158540092767676,-0.2927257666567928,-112.6347558377878,79.94413875269065,-32.69061708509715,-112.61523982659652,80.18163491002021,-32.4336049165763,-0.2570121685208519,248,True,True,f,,,,-32.69061708509715,False
EP,28,440-310,9.38-22.63,thick anvil cloud,0.0071404424584079,-1.1110429274960572,0.5931446156135224,-0.5178983118825348,-155.59861086588336,83.06832791784272,-72.53028294804064,-155.48410530057495,83.24664101530907,-72.23746428526592,-0.2928186627747209,248,True,True,f,,,,-72.53028294804064,False
EP,29,440-310,22.63-60.36,deep convective cloud,0.0020016801277773,-0.3836836629042774,0.1649517395310164,-0.2187319233732609,-191.68080732775417,82.40664292060522,-109.27416440714892,-192.46567935765228,82.01290384317736,-110.45277551447492,1.178611107326006,248,True,True,f,,,,-109.27416440714892,False
EP,30,440-310,60.36-378.65,deep convective cloud,0.0001433471839436,-0.0328201945724762,0.0123952379406537,-0.0204249566318225,-228.95597715672275,86.47004844914706,-142.4859287075757,-233.42598596768087,86.22221198754231,-147.20377398013855,4.71784527256284,248,True,True,f,,,,-142.4859287075757,False
EP,31,310-180,0.02-1.27,thin high cloud,0.0217178008228674,-0.2912345495809149,0.6028118387835171,0.3115772892026021,-13.40994661274655,27.75657828801875,14.3466316752722,-13.507520463286513,27.77974146363981,14.2722210003533,0.0744106749188997,248,True,True,f,,,,14.3466316752722,False
EP,32,310-180,1.27-3.55,thin high cloud,0.0212941038899559,-1.3739380830303205,1.7269558175368342,0.3530177345065137,-64.52199586000825,81.10018747261829,16.578191612610038,-64.52018109023693,81.1937208266391,16.673539736402166,-0.095348123792128,248,True,True,f,,,,16.578191612610038,False
EP,33,310-180,3.55-9.38,thick anvil cloud,0.0223201646753092,-2.5794626566694445,2.402143339692887,-0.1773193169765577,-115.56647068661042,107.62211545644,-7.9443552301704035,-115.13604848459023,108.11055095582373,-7.025497528766525,-0.918857701403878,248,True,True,f,,,,-7.9443552301704035,False
EP,34,310-180,9.38-22.63,thick anvil cloud,0.0169014461107338,-2.8732754933254174,2.075359465478859,-0.7979160278465584,-170.00175455404678,122.79182810048634,-47.20992645356045,-169.2340417101628,123.3732237551853,-45.86081795497752,-1.349108498582929,248,True,True,f,,,,-47.20992645356045,False
EP,35,310-180,22.63-60.36,deep convective cloud,0.0109979944741121,-2.3093384728858632,1.4414164955776805,-0.8679219773081827,-209.97814449914057,131.06175848429382,-78.9163860148467,-208.9901524003332,131.27911742814138,-77.7110349721918,-1.2053510426548968,248,True,True,f,,,,-78.9163860148467,False
EP,36,310-180,60.36-378.65,deep convective cloud,0.0028819811760271,-0.6929050470017555,0.4015847980785228,-0.2913202489232326,-240.42663871835023,139.34331057363772,-101.08332814471255,-239.90993874992472,139.43014511639765,-100.47979363352708,-0.6035345111854866,248,True,True,f,,,,-101.08332814471255,False
EP,37,180-10,0.02-1.27,thin high cloud,0.0066095440527472,-0.0132747823586175,0.0521841868273011,0.0389094044686836,-2.008426338137479,7.895277860446497,5.886851522309018,-2.356481765686884,8.233395439789186,5.8769136741023,0.009937848206718,248,True,True,f,,,,5.886851522309018,False
EP,38,180-10,1.27-3.55,thin high cloud,0.0007858297378061,-0.0516556789763023,0.0821226795299241,0.0304670005536218,-65.7339325443588,104.50441816975318,38.77048562539437,-65.65257503120175,104.2994597288513,38.646884697649554,0.1236009277448175,248,True,True,f,,,,38.77048562539437,False
EP,39,180-10,3.55-9.38,thick anvil cloud,0.0002276216593203,-0.0255983823328756,0.0307675119547414,0.0051691296218657,-112.4602219723248,135.169526690075,22.709304717750214,-109.50854189269508,133.50814307228177,23.999601179586644,-1.2902964618364263,248,True,True,f,,,,22.709304717750214,False
EP,40,180-10,9.38-22.63,thick anvil cloud,0.0008456690503545,-0.1589255185877719,0.133316767980603,-0.0256087506071688,-187.92873940596436,157.64650240505733,-30.28223700090704,-187.30322852035331,159.7010517716656,-27.602176748687683,-2.6800602522193557,248,True,True,f,,,,-30.28223700090704,False
