month,region,phase_index,NetPath_low_monthly,NetPath_thin_monthly,NetPath_thick_monthly,NetPath_deep_monthly,NetPath_high_total_monthly,NetPath_high_contrast_monthly
2022-09-01,EP,-1,-28.381261552973843,0.604790650744543,-2.475621067985418,-2.472545182877275,-4.343375600118151,-5.552956901607236
2022-10-01,EP,-1,-30.275411722670000,0.562183453151199,-1.356226355402256,-1.496175048701171,-2.290217950952227,-3.414584857254626
2022-11-01,EP,-1,-28.910741795627132,0.786855168037903,-0.930497772123489,-1.243829990871595,-1.387472594957181,-2.961182931032987
2022-12-01,EP,-1,-22.117023898650910,1.083015327498315,-0.605405573182561,-0.861186982306000,-0.383577227990247,-2.549607882986876
2023-01-01,EP,-1,-17.664919699384058,0.576696293272133,-0.756363048038182,-0.764095563694549,-0.943762318460598,-2.097154905004863
2023-02-01,EP,-1,-14.354324635596484,0.791467447620031,-1.692122003153146,-1.366961978730757,-2.267616534263872,-3.850551429503933
2002-07-01,WP,1,-6.601136452820140,2.815030594618352,-3.394136100042213,-4.184775158392502,-4.763880663816362,-10.393941853053068
2002-08-01,WP,1,-5.733283264523030,3.430776031706416,-3.726649245506966,-4.934269067071687,-5.230142280872236,-12.091694344285070
2002-09-01,WP,1,-5.838590836241751,2.582261014733691,-2.944969777469664,-3.236010877157146,-3.598719639893119,-8.763241669360500
2002-10-01,WP,1,-4.743825914665376,3.229992050212223,-2.134708535530874,-2.534182818927174,-1.438899304245825,-7.898883404670272
2002-11-01,WP,1,-5.292981994661808,3.957013108085300,-2.309945482255028,-2.800709194834244,-1.153641569003972,-9.067667785174571
2002-12-01,WP,1,-6.586788838318807,2.686005935826594,-1.722053463605832,-1.775557782382986,-0.811605310162224,-6.183617181815412
2003-01-01,WP,1,-5.482011954909983,4.592966283380377,-4.225994930126165,-4.785720697264987,-4.418749344010775,-13.604681910771529
2003-02-01,WP,1,-6.674081896098102,3.529886443972790,-4.436180737930586,-4.575475206498468,-5.481769500456265,-12.541542388401844
2003-03-01,WP,0,-5.148936597871081,3.587687236868951,-4.745172658239912,-4.907886948578025,-6.065372369948985,-13.240746843686889
2003-04-01,WP,0,-5.403908379824901,3.612906016844454,-2.442679063530530,-3.245369892386607,-2.075142939072683,-9.300954972761591
2003-05-01,WP,-1,-5.126781582632975,3.258234381579446,-3.690244883086060,-4.179241525110765,-4.611252026617379,-11.127720789776269
2003-06-01,WP,0,-5.657231748922841,2.515503389990724,-2.584744886166377,-2.922596557720489,-2.991838053896143,-8.022844833877590
2003-07-01,WP,0,-5.759777308164883,3.103721207658135,-3.650401163381260,-4.670031546502011,-5.216711502225135,-11.424153917541405
2003-08-01,WP,0,-7.045974347301126,2.497232066611292,-3.964812456919351,-4.190455965955989,-5.658036356264049,-10.652500489486634
2003-09-01,WP,0,-4.888998520683462,3.250627128624053,-5.205409284984420,-4.906349478052677,-6.861131634413044,-13.362385891661152
2003-10-01,WP,0,-4.446884238120043,3.714596193367071,-3.293751030314751,-3.652448400371945,-3.231603237319625,-10.660795624053769
2003-11-01,WP,0,-4.801002981055798,4.830217318034741,-2.385862115751304,-3.184302736950562,-0.739947534667126,-10.400382170736608
2003-12-01,WP,0,-3.738751685885200,4.291520760175704,-4.909572605206203,-5.157017292186632,-5.775069137217131,-14.358110657568538
2004-01-01,WP,0,-6.005053494654408,3.744189314580834,-3.619878810375516,-3.598909541525158,-3.474599037319840,-10.962977666481507
2004-02-01,WP,0,-3.915557884469855,3.908618383504662,-7.078016909524855,-7.143932333476911,-10.313330859497105,-18.130567626506430
2004-03-01,WP,0,-3.898652108580453,4.908714756777460,-4.395708609669391,-4.959480942539134,-4.446474795431065,-14.263904308985985
2004-04-01,WP,0,-5.217855376710885,3.545416944021014,-2.601215497997766,-3.247398205750557,-2.303196759727309,-9.394030647769338
2004-05-01,WP,0,-4.279405598722343,3.552376944172027,-3.688545589386171,-4.371298575718111,-4.507467220932254,-11.612221109276309
2004-06-01,WP,0,-4.865638250867579,3.673410325452353,-3.525469018120248,-4.966592219743050,-4.818650912410945,-12.165471563315650
2004-07-01,WP,1,-6.971710238368265,3.050842470499303,-2.780970688612229,-2.979336563702791,-2.709464781815716,-8.811149722814323
2004-08-01,WP,1,-5.983381636933831,3.556959016613674,-4.115283431911171,-5.114110418958333,-5.672434834255830,-12.786352867483176
2004-09-01,WP,1,-6.846135749167511,2.868435946077837,-3.217706268618227,-3.468824793805902,-3.818095116346292,-9.554967008501965
2004-10-01,WP,1,-5.018325181933999,3.836944566864160,-2.527138206731375,-2.828051718612623,-1.518245358479839,-9.192134492208158
2004-11-01,WP,1,-4.839201515900731,4.038633190587207,-2.131101892159716,-2.773490541493420,-0.865959243065928,-8.943225624240343
2004-12-01,WP,1,-4.878188650554313,4.422500803544470,-2.361273888248499,-2.850703828838564,-0.789476913542593,-9.634478520631534
2005-01-01,WP,1,-4.503199537150362,4.484199833461896,-5.608772408079321,-5.767257413625988,-6.891829988243413,-15.860229655167206
2005-02-01,WP,0,-7.517643906816361,3.568298124693136,-3.517968019230372,-3.760433476776879,-3.710103371314115,-10.846699620700388
2005-03-01,WP,1,-6.294245584985585,2.860344740279022,-4.551360469868792,-4.882454861528787,-6.573470591118557,-12.294160071676600
2005-04-01,WP,0,-5.258515133415620,4.071500857518572,-3.426035872916898,-4.393886568033833,-3.748421583432158,-11.891423298469302
2005-05-01,WP,0,-6.150195487097896,2.451213238580303,-3.281545903287120,-3.362305525952803,-4.192638190659619,-9.095064667820225
2005-06-01,WP,0,-5.989736555943453,2.540543173386459,-2.953211421185199,-2.999807293637577,-3.412475541436317,-8.493561888209236
2005-07-01,WP,0,-5.271598110713584,3.462775839255281,-4.165465962515153,-4.605580301848316,-5.308270425108189,-12.233822103618751
2005-08-01,WP,0,-6.306234883936182,2.352653848704184,-5.030745418229956,-5.094555536626313,-7.772647106152085,-12.477954803560452
2005-09-01,WP,0,-4.861629274060527,2.961588199871751,-5.358830767798935,-5.359111629024948,-7.756354196952133,-13.679530596695633
2005-10-01,WP,0,-4.830526145035354,3.876059531301224,-3.084695009371033,-3.185646349039799,-2.394281827109609,-10.146400889712055
2005-11-01,WP,-1,-3.522730708101816,5.090447632472035,-3.380912175173782,-3.973090417296552,-2.263554959998298,-12.444450224942369
2005-12-01,WP,-1,-3.154415842003520,4.923004457733859,-4.642510633975249,-5.052258346958759,-4.771764523200149,-14.617773438667866
2006-01-01,WP,-1,-3.437103167780591,5.138289932301280,-5.548550741092849,-6.314719847737654,-6.724980656529223,-17.001560521131783
2006-02-01,WP,-1,-5.645176191646628,4.666066384729334,-4.487468671624990,-5.135884041339168,-4.957286328234824,-14.289419097693493
2006-03-01,WP,-1,-3.811543825650238,4.544043371937824,-5.750132585664115,-6.196975214142557,-7.403064427868848,-16.491151171744498
2006-04-01,WP,0,-3.204977068443116,5.000806325797914,-4.139450715113176,-4.786812171815297,-3.925456561130559,-13.927069212726387
2006-05-01,WP,0,-4.519548627041863,3.565904095270088,-2.554173278937178,-3.112894113220571,-2.101163296887661,-9.232971487427836
2006-06-01,WP,0,-4.880431132357658,3.563543401805301,-2.996214254438024,-3.924383302147002,-3.357054154779725,-10.484140958390327
2006-07-01,WP,0,-6.187179843266546,2.445499906304326,-4.967221887162729,-5.398053974961689,-7.919775955820093,-12.810775768428744
2006-08-01,WP,0,-6.609289734042789,2.531999346639088,-4.272321436754923,-4.744158237085083,-6.484480327200918,-11.548479020479094
2006-09-01,WP,1,-6.228938377340569,2.962077779503764,-4.038939756308910,-4.230898240658221,-5.307760217463366,-11.231915776470894
2006-10-01,WP,1,-6.739788146957779,2.886966255790627,-3.199943231721195,-3.524659621338520,-3.837636597269088,-9.611569108850343
2006-11-01,WP,1,-5.485150213593000,3.291048781568791,-1.794296727282140,-2.092662193725364,-0.595910139438712,-7.178007702576295
2006-12-01,WP,1,-6.042634216434659,3.638989827570611,-2.354652550789834,-2.743334652028278,-1.458997375247501,-8.736977030388722
2007-01-01,WP,1,-4.771800358494850,5.122277255989568,-4.925034681572090,-5.192737808889943,-4.995495234472465,-15.240049746451600
2007-02-01,WP,0,-4.532032124264822,4.450739690807465,-5.071071229583316,-5.210241353877741,-5.830572892653592,-14.732052274268522
2007-03-01,WP,0,-5.007463685064083,3.920739454972156,-5.184510896138611,-5.331538487958271,-6.595309929124726,-14.436788839069038
2007-04-01,WP,0,-5.355639601809494,3.578524917720975,-3.007559165765280,-3.329928831908151,-2.758963079952456,-9.916012915394408
2007-05-01,WP,-1,-4.642366669081963,3.346600151695678,-2.966684922724247,-3.216659133311232,-2.836743904339801,-9.529944207731157
2007-06-01,WP,0,-6.505737938310899,2.653617966202594,-2.729548365461625,-3.070082665443333,-3.146013064702363,-8.453248997107552
2007-07-01,WP,-1,-6.810563556367048,3.520080923322625,-3.492562079511796,-3.934588556967527,-3.907069713156698,-10.947231559801949
2007-08-01,WP,-1,-6.748850530628822,2.671288548502267,-4.658959776613440,-4.390641009127089,-6.378312237238261,-11.720889334242795
2007-09-01,WP,-1,-4.878531832837491,3.151104716220822,-4.893551900270800,-5.180738256905134,-6.923185440955113,-13.225394873396755
2007-10-01,WP,-1,-4.667802697750555,3.437477500459429,-3.330202397171232,-3.224733080608853,-3.117457977320656,-9.992412978239516
2007-11-01,WP,-1,-3.146317262737424,5.492366718221461,-3.437082565385604,-5.211328534843794,-3.156044382007937,-14.140777818450861
2007-12-01,WP,-1,-4.596594492685950,3.964885609150064,-3.294503122874701,-3.649484762660704,-2.979102276385341,-10.908873494685469
2008-01-01,WP,-1,-3.560888637735167,5.916335364733441,-4.439204062559231,-5.367189503855530,-3.890058201681319,-15.722728931148200
2008-02-01,WP,-1,-3.802332755618512,3.931776192921420,-7.348386034860526,-6.423751444893104,-9.840361286832209,-17.703913672675050
2008-03-01,WP,-1,-4.601823801127959,4.226741768474822,-3.827392811353997,-3.882754148594890,-3.483405191474064,-11.936888728423709
2008-04-01,WP,-1,-4.243651511619045,3.844214949357936,-3.753115414957034,-4.196025574282103,-4.104926039881201,-11.793355938597074
2008-05-01,WP,-1,-4.381960285772607,3.036622879098271,-4.358979607041465,-4.509678792454408,-5.832035520397602,-11.905281278594144
2008-06-01,WP,-1,-5.664090258552060,2.661260183491582,-3.641916989907406,-3.733751782548048,-4.714408588963871,-10.036928955947037
2008-07-01,WP,0,-6.180324558438437,3.099065949890544,-3.126078313371766,-3.058200380977354,-3.085212744458577,-9.283344644239664
2008-08-01,WP,0,-7.319762399828602,2.571200009874548,-4.315240045163249,-4.403361638272473,-6.147401673561174,-11.289801693310270
2008-09-01,WP,0,-4.847768433320807,2.969457563667920,-4.833306937567840,-4.723194605895017,-6.587043979794937,-12.525959107130777
2008-10-01,WP,0,-5.037741033417769,2.726375610790359,-4.526755762266746,-4.444468046605809,-6.244848198082196,-11.697599419662914
2008-11-01,WP,-1,-4.063857262584757,4.084817302213640,-3.450364720911524,-3.448790150244242,-2.814337568942126,-10.983972173369406
2008-12-01,WP,-1,-3.609491753288542,4.186161013907049,-4.796635056269364,-4.683388994821451,-5.293863037183765,-13.666185064997865
2009-01-01,WP,-1,-3.576965161503288,5.030262118746087,-4.693727396351334,-5.525128636704697,-5.188593914309943,-15.249118151802119
2009-02-01,WP,-1,-3.072467221892027,4.366704053814338,-7.478338879406426,-7.157853980443840,-10.269488806035927,-19.002896913664603
2009-03-01,WP,-1,-3.537491032851141,5.170915760330331,-4.753657887486939,-5.119931716194958,-4.702673843351565,-15.044505364012227
2009-04-01,WP,0,-4.725414066074632,3.845140909920103,-3.254869467405185,-3.700611346084376,-3.110339903569458,-10.800621723409662
2009-05-01,WP,0,-4.297241773938960,3.486449299335800,-3.169064348833482,-3.515360791447752,-3.197975840945434,-10.170874439617034
2009-06-01,WP,0,-4.051284762760876,3.343144441504571,-3.678592843289214,-3.667699380688782,-4.003147782473425,-10.689436665482566
2009-07-01,WP,1,-4.566879096724835,3.414663657294209,-5.136795347567233,-5.743312509549997,-7.465444199823022,-14.294771514411440
2009-08-01,WP,1,-6.038826628691271,2.707969886690754,-3.417129673913228,-3.634120444668717,-4.343280231891191,-9.759220005272701
2009-09-01,WP,1,-5.095627336792969,2.885616378412027,-5.436654882181122,-5.458277020811193,-8.009315524580288,-13.780548281404343
2009-10-01,WP,1,-4.399343416965411,3.539333740820390,-3.865889906916165,-4.188649655267792,-4.515205821363566,-11.593873303004347
2009-11-01,WP,1,-4.935712149894234,3.580357059336258,-3.747074221252385,-3.757190146038254,-3.923907307954381,-11.084621426626898
2009-12-01,WP,1,-5.429120166133400,4.421505443779527,-3.028774630602937,-3.172678090841702,-1.779947277665113,-10.622958165224166
2010-01-01,WP,1,-4.481372330547368,5.028550403220216,-6.277019895967536,-5.988414630947992,-7.236884123695313,-17.293984930135743
2010-02-01,WP,1,-9.074980022886923,2.357194397656144,-2.699612492578210,-2.641876408468771,-2.984294503390838,-7.698683298703125
2010-03-01,WP,1,-6.202891250011111,3.372788974639435,-3.901700328797027,-3.984334962350949,-4.513246316508541,-11.258824265787410
2010-04-01,WP,0,-5.340418049378679,3.488444672847209,-3.530017074213892,-3.678429435517043,-3.720001836883726,-10.696891182578144
2010-05-01,WP,0,-5.946412468913207,3.076119763341092,-2.987633830302371,-2.779460025744040,-2.690974092705318,-8.843213619387502
2010-06-01,WP,-1,-5.920654607243963,3.015349009742532,-2.490214211894009,-2.693179181928224,-2.168044384079701,-8.198742403564765
2010-07-01,WP,-1,-5.826510577783328,3.663845927721829,-3.363116121081223,-3.512152620766392,-3.211422814125786,-10.539114669569445
2010-08-01,WP,-1,-5.422568411028766,3.293021723888677,-4.520179500700173,-4.098303888342376,-5.325461665153872,-11.911505112931225
2010-09-01,WP,-1,-5.672120205105233,3.276148515706702,-3.537560236097556,-3.115414389948060,-3.376826110338915,-9.929123141752319
2010-10-01,WP,-1,-4.602604997474741,3.291021491913036,-4.539694870454012,-4.028219475197122,-5.276892853738097,-11.858935837564168
2010-11-01,WP,-1,-4.185466647356495,4.040754370770573,-2.993104709277954,-3.010610635885273,-1.962960974392654,-10.044469715933801
2010-12-01,WP,-1,-3.544842182006958,4.039503029716315,-4.685848214664230,-4.471159600581916,-5.117504785529831,-13.196510844962461
2011-01-01,WP,-1,-3.997559165922717,4.019875228518463,-4.871359896813924,-4.953931911609688,-5.805416579905149,-13.845167036942073
2011-02-01,WP,-1,-3.659766215445389,3.847388966720873,-6.509603772477607,-6.363537943528558,-9.025752749285290,-16.720530682727038
2011-03-01,WP,-1,-3.996512991800312,3.666062232177031,-6.294268793080950,-5.762803078922532,-8.391009639826452,-15.723134104180515
2011-04-01,WP,-1,-3.900551896814270,3.935012895526620,-4.478951304584494,-4.554712844963915,-5.098651254021789,-12.968677045075029
2011-05-01,WP,-1,-4.629890615627874,3.834758891580721,-4.248253127282092,-4.626111402973859,-5.039605638675230,-12.709123421836672
2011-06-01,WP,0,-5.875509133742670,2.992365389187855,-4.447241104818016,-4.751514285261543,-6.206390000891703,-12.191120779267413
2011-07-01,WP,0,-5.689254356180620,3.885964076050679,-4.497933117516617,-5.125308308419936,-5.737277349885874,-13.509205501987232
2011-08-01,WP,-1,-6.178127672434822,2.715792707114039,-5.086749467481681,-4.685689663078236,-7.056646423445878,-12.488231837673956
2011-09-01,WP,-1,-5.612586625280365,3.011515306512526,-6.444977700960145,-5.421361104690653,-8.854823499138272,-14.877854112163325
2011-10-01,WP,-1,-4.944980171616154,2.438220589458318,-3.586100633617696,-3.276443249230453,-4.424323293389831,-9.300764472306467
2011-11-01,WP,-1,-5.071824735701460,3.169383347578778,-3.507868021662995,-3.261855199208580,-3.600339873292796,-9.939106568450352
2011-12-01,WP,-1,-3.415395060299472,4.464245361366959,-4.838291830460969,-5.099604309700745,-5.473650778794756,-14.402141501528675
2012-01-01,WP,-1,-3.902965572992171,4.756628378299478,-5.039804637486776,-5.294062850358889,-5.577239109546188,-15.090495866145144
2012-02-01,WP,-1,-4.205967866359768,5.062601333785127,-4.411060450200263,-4.284284608349065,-3.632743724764201,-13.757946392334455
2012-03-01,WP,-1,-3.358028502214373,4.381971453341250,-6.654535135825026,-6.322503536898009,-8.595067219381786,-17.359010126064284
2012-04-01,WP,-1,-4.993755327429627,3.629879832169946,-3.108475039310213,-2.900377746423862,-2.378972953564130,-9.638732617904020
2012-05-01,WP,0,-3.719024455643789,3.748968099297452,-4.366861116575267,-4.416438485991748,-5.034331503269563,-12.532267701864466
2012-06-01,WP,0,-4.817017022288713,3.146913674240725,-4.340827980215179,-4.477760464437714,-5.671674770412169,-11.965502118893617
2012-07-01,WP,0,-6.017870279456639,3.357906815294082,-4.503207894795882,-4.345480950198441,-5.490782029700240,-12.206595660288405
2012-08-01,WP,1,-6.654993117071803,2.765973344208216,-5.481322152488981,-4.787016554210188,-7.502365362490954,-13.034312050907385
2012-09-01,WP,0,-4.216846611239025,3.250558202979098,-5.696003714807285,-5.464484414559498,-7.909929926387685,-14.411046332345881
2012-10-01,WP,0,-5.347199143017781,2.906097006788339,-4.101607513218911,-3.743077141464653,-4.938587647895226,-10.750781661471905
2012-11-01,WP,0,-4.670152355614704,4.905870465902421,-2.751649302325059,-3.166225793020479,-1.012004629443118,-10.823745561247959
2012-12-01,WP,0,-4.835572882097736,4.866419956793362,-2.390061816718280,-2.950279949839483,-0.473921809764401,-10.206761723351125
2013-01-01,WP,-1,-4.014056267611413,5.327610414480574,-5.765308597906990,-6.001687928502489,-6.439386111928904,-17.094606940890053
2013-02-01,WP,-1,-5.083413562500386,4.243094525218263,-5.277947712342287,-5.033449708052219,-6.068302895176243,-14.554491945612769
